00025.2022-2;None;SERVICO AUTOMACAO - CONTROLE ACESSO;None;None;None;None;None;None
00078.2022-4;None;Diagnóstico Situacional do Acervo da Biblioteca do TRE-MT;None;None;None;None;None;None
00087.2022-3;None;INSTALACAO  MANUTENCAO - ENERGIA SOLAR FOTOVOTAICA;None;None;None;None;None;None
00255.2022-9;None;LAVAGEM DE VEICULO AUTOMOTIVO;None;None;None;None;None;None
00288.2020-7;None;SERVICOS DE MANUTENCAO DE  EQUIPAMENTOS DE COMUNICACAO DE DADOS E COMUTACAO TELEFONICA;None;None;None;None;None;None
00323.2022-1;None;CONTRATAÇÃO DE AMBULANCIA - UTI MÓVEL AVANÇADA
REMOCAO DE ENFERMO  UTI MOVEL;None;None;None;None;None;None
00516.2021-9;None;ÁGUA MINERAL NATURAL;None;None;None;None;None;None
00547.2020-6;None;Conserto de Togas;None;None;None;None;None;None
00579.2022-2;None;FAIXA DIVULGAÇÃO DE EVENTOS;None;None;None;None;None;None
00587.2022-7;None;MESA ESCRITÓRIO
APARELHO AR CONDICIONADO
NO BREAK
MOBILIÁRIO;None;None;None;None;None;None
00747.2020-1;None;Aquisição de Veículos;None;None;None;None;None;None
00835.2022-8;None;MANUTENCAO DE VEICULOS LEVES  PESADOS;None;None;None;None;None;None
00871.2020-8;None;PERICIA  LAUDO  AVALIACAO - TECNICA
EXAME MEDICO PERIODICO;None;None;None;None;None;None
00916.2022-8;None;SERVICO DE RASTREAMENTO;None;None;None;None;None;None
00921.2020-2;None;Manutenção de Equipamentos Médicos;None;None;None;None;None;None
00933.2021-3;None;CONTAINERS/EQUIPAMENTOS DIVERSOS;None;None;None;None;None;None
00949.2022-2;None;PAGAMENTO COBERTURAS SEGURO VEÍCULO;None;None;None;None;None;None
00965.2022-1;None;SEGURO  GARANTIA
TRANSPORTE RODOVIARIO-MOBILIARIO MATERIAIS E QUIPAMENTOS BEMS PESSOAIS;None;None;None;None;None;None
00966.2022-6;None;TRANSPORTE RODOVIARIO-MOBILIARIO MATERIAIS EQUIPAMENTOS BENS PESSOAIS
SEGURO  GARANTIA;None;None;None;None;None;None
01006.2022-1;None;FILMAGEM DA AUDITORIA DE FUNCIONAMENTO DAS URNAS ELETRÔNICAS;None;None;None;None;None;None
01030.2022-5;None;TELEVISOR
APARELHO TELEFÔNICO CELULAR / ACESSÓRIOS
TABLET;None;None;None;None;None;None
01064.2022-4;None;SERVICO INSTALACAO GRUPO GERADOR;None;None;None;None;None;None
